ID Client 1,ID Client 2,geometry_client_1,geometry_client_2,distance_car,duration_car,distance_bike,duration_bike
559475456,559277088,POINT (1.3756893 48.7210523),POINT (1.3756893 48.7210523),0,0,0,0
559475456,87852633,POINT (1.3756893 48.7210523),POINT (1.4987735 48.691944),13809,1070,12103,2655
559277088,87852633,POINT (1.3756893 48.7210523),POINT (1.4987735 48.691944),13809,1070,12103,2655
559475456,243033408,POINT (1.3756893 48.7210523),POINT (1.332848 48.726393),5880,469,4215,1092
559277088,243033408,POINT (1.3756893 48.7210523),POINT (1.332848 48.726393),5880,469,4215,1092
87852633,243033408,POINT (1.4987735 48.691944),POINT (1.332848 48.726393),18142,1301,18433,3766
559475456,817127257,POINT (1.3756893 48.7210523),POINT (1.3833051 48.7249427),992,162,992,191
559277088,817127257,POINT (1.3756893 48.7210523),POINT (1.3833051 48.7249427),992,162,992,191
87852633,817127257,POINT (1.4987735 48.691944),POINT (1.3833051 48.7249427),12377,977,12546,2492
243033408,817127257,POINT (1.332848 48.726393),POINT (1.3833051 48.7249427),4856,611,4890,1059
559475456,480337694,POINT (1.3756893 48.7210523),POINT (1.3390499 48.7297346),5447,459,4032,942
559277088,480337694,POINT (1.3756893 48.7210523),POINT (1.3390499 48.7297346),5447,459,4032,942
87852633,480337694,POINT (1.4987735 48.691944),POINT (1.3390499 48.7297346),17709,1292,16633,3450
243033408,480337694,POINT (1.332848 48.726393),POINT (1.3390499 48.7297346),733,107,842,151
817127257,480337694,POINT (1.3833051 48.7249427),POINT (1.3390499 48.7297346),4419,594,4930,1094
559475456,87274454,POINT (1.3756893 48.7210523),POINT (1.465217 48.6745197),11375,897,11420,2231
559277088,87274454,POINT (1.3756893 48.7210523),POINT (1.465217 48.6745197),11375,897,11420,2231
87852633,87274454,POINT (1.4987735 48.691944),POINT (1.465217 48.6745197),4438,383,4133,818
243033408,87274454,POINT (1.332848 48.726393),POINT (1.465217 48.6745197),18995,1135,15318,3098
817127257,87274454,POINT (1.3833051 48.7249427),POINT (1.465217 48.6745197),9934,853,10428,2039
480337694,87274454,POINT (1.3390499 48.7297346),POINT (1.465217 48.6745197),18678,1183,14912,3005
559475456,541258495,POINT (1.3756893 48.7210523),POINT (1.2034312 48.771986),18991,1280,18265,3816
559277088,541258495,POINT (1.3756893 48.7210523),POINT (1.2034312 48.771986),18991,1280,18265,3816
87852633,541258495,POINT (1.4987735 48.691944),POINT (1.2034312 48.771986),32273,1905,30866,6325
243033408,541258495,POINT (1.332848 48.726393),POINT (1.2034312 48.771986),14403,1020,14158,2873
817127257,541258495,POINT (1.3833051 48.7249427),POINT (1.2034312 48.771986),17963,1415,19163,3969
480337694,541258495,POINT (1.3390499 48.7297346),POINT (1.2034312 48.771986),14809,1087,14201,2887
87274454,541258495,POINT (1.465217 48.6745197),POINT (1.2034312 48.771986),27358,1904,27868,5786
559475456,522099746,POINT (1.3756893 48.7210523),POINT (1.3745039 48.7290588),1472,207,1050,201
559277088,522099746,POINT (1.3756893 48.7210523),POINT (1.3745039 48.7290588),1472,207,1050,201
87852633,522099746,POINT (1.4987735 48.691944),POINT (1.3745039 48.7290588),12784,1043,13723,2745
243033408,522099746,POINT (1.332848 48.726393),POINT (1.3745039 48.7290588),3957,494,3975,870
817127257,522099746,POINT (1.3833051 48.7249427),POINT (1.3745039 48.7290588),1200,185,1177,253
480337694,522099746,POINT (1.3390499 48.7297346),POINT (1.3745039 48.7290588),3585,532,3568,776
87274454,522099746,POINT (1.465217 48.6745197),POINT (1.3745039 48.7290588),10352,882,11967,2573
541258495,522099746,POINT (1.2034312 48.771986),POINT (1.3745039 48.7290588),16351,1359,17438,3622
559475456,192451998,POINT (1.3756893 48.7210523),POINT (1.3327037 48.7263435),5869,468,4217,1092
559277088,192451998,POINT (1.3756893 48.7210523),POINT (1.3327037 48.7263435),5869,468,4217,1092
87852633,192451998,POINT (1.4987735 48.691944),POINT (1.3327037 48.7263435),18131,1300,18435,3767
243033408,192451998,POINT (1.332848 48.726393),POINT (1.3327037 48.7263435),11,1,2,0
817127257,192451998,POINT (1.3833051 48.7249427),POINT (1.3327037 48.7263435),4906,602,5371,1336
480337694,192451998,POINT (1.3390499 48.7297346),POINT (1.3327037 48.7263435),758,128,779,228
87274454,192451998,POINT (1.465217 48.6745197),POINT (1.3327037 48.7263435),18628,1142,16543,3443
541258495,192451998,POINT (1.2034312 48.771986),POINT (1.3327037 48.7263435),14368,1081,14110,2951
522099746,192451998,POINT (1.3745039 48.7290588),POINT (1.3327037 48.7263435),4040,488,5301,1156
559475456,552306887,POINT (1.3756893 48.7210523),POINT (1.3748625 48.7296135),1531,219,1034,196
559277088,552306887,POINT (1.3756893 48.7210523),POINT (1.3748625 48.7296135),1531,219,1034,196
87852633,552306887,POINT (1.4987735 48.691944),POINT (1.3748625 48.7296135),12662,1037,13708,2740
243033408,552306887,POINT (1.332848 48.726393),POINT (1.3748625 48.7296135),4018,488,4034,879
817127257,552306887,POINT (1.3833051 48.7249427),POINT (1.3748625 48.7296135),1141,174,1162,248
480337694,552306887,POINT (1.3390499 48.7297346),POINT (1.3748625 48.7296135),3645,526,3627,786
87274454,552306887,POINT (1.465217 48.6745197),POINT (1.3748625 48.7296135),10230,876,11951,2568
541258495,552306887,POINT (1.2034312 48.771986),POINT (1.3748625 48.7296135),16411,1352,17497,3631
522099746,552306887,POINT (1.3745039 48.7290588),POINT (1.3748625 48.7296135),59,11,59,9
192451998,552306887,POINT (1.3327037 48.7263435),POINT (1.3748625 48.7296135),4029,489,4032,879
559475456,803656603,POINT (1.3756893 48.7210523),POINT (1.3819999 48.7236),680,99,680,124
