ID Intervenant,ID Client,geometry_intervenant,Permis,geometry_client,distance,duration
162858075,559475456,POINT (1.3746477 48.7222691),1.0,POINT (1.3756893 48.7210523),0.4 km,1 min
78007018,559475456,POINT (1.351054 48.689927),1.0,POINT (1.3756893 48.7210523),5.5 km,8 mins
856089133,559475456,POINT (1.5230773 48.6454179),0.0,POINT (1.3756893 48.7210523),17.7 km,1 hour 0 mins
842621873,559475456,POINT (1.3798422 48.728863),1.0,POINT (1.3756893 48.7210523),1.7 km,4 mins
838320706,559475456,POINT (1.3919715 48.7385156),1.0,POINT (1.3756893 48.7210523),3.9 km,5 mins
776399834,559475456,POINT (1.3414973 48.7272205),1.0,POINT (1.3756893 48.7210523),4.2 km,10 mins
854577575,559475456,POINT (1.3579211 48.7447023),0.0,POINT (1.3756893 48.7210523),3.8 km,17 mins
648993440,559475456,POINT (1.2410824 48.7613818),1.0,POINT (1.3756893 48.7210523),13.5 km,17 mins
888888888,559475456,POINT (1.3796637 48.7209265),1.0,POINT (1.3756893 48.7210523),0.3 km,1 min
480302361,559475456,POINT (1.3827051 48.7302065),1.0,POINT (1.3756893 48.7210523),1.6 km,5 mins
710283561,559475456,POINT (1.374591 48.7325587),1.0,POINT (1.3756893 48.7210523),2.0 km,4 mins
810259688,559475456,POINT (1.356134 48.711115),0.0,POINT (1.3756893 48.7210523),2.5 km,9 mins
764144581,559475456,POINT (1.5004603 48.6603812),1.0,POINT (1.3756893 48.7210523),14.2 km,17 mins
78007874,559475456,POINT (1.3803568 48.7389345),1.0,POINT (1.3756893 48.7210523),3.8 km,5 mins
746414886,559475456,POINT (1.1976441 48.7694552),1.0,POINT (1.3756893 48.7210523),16.8 km,23 mins
1452747150,559475456,POINT (1.2531719 48.8432071),0.0,POINT (1.3756893 48.7210523),21.2 km,1 hour 16 mins
78005437,559475456,POINT (1.3562779 48.712418),1.0,POINT (1.3756893 48.7210523),2.6 km,4 mins
213237245,559475456,POINT (1.2411202 48.7632262),1.0,POINT (1.3756893 48.7210523),13.8 km,17 mins
609468992,559475456,POINT (1.2325806 48.6405554),1.0,POINT (1.3756893 48.7210523),16.1 km,17 mins
818696864,559475456,POINT (1.3579211 48.7447023),1.0,POINT (1.3756893 48.7210523),4.6 km,12 mins
813991780,559475456,POINT (1.0731951 48.6927148),1.0,POINT (1.3756893 48.7210523),26.5 km,28 mins
739888851,559475456,POINT (1.303906 48.75186),1.0,POINT (1.3756893 48.7210523),8.8 km,14 mins
78012267,559475456,POINT (1.3719853 48.7292064),1.0,POINT (1.3756893 48.7210523),1.5 km,4 mins
700168298,559475456,POINT (1.210611 48.7580989),1.0,POINT (1.3756893 48.7210523),15.6 km,20 mins
162858075,559277088,POINT (1.3746477 48.7222691),1.0,POINT (1.3756893 48.7210523),0.4 km,1 min
78007018,559277088,POINT (1.351054 48.689927),1.0,POINT (1.3756893 48.7210523),5.5 km,8 mins
856089133,559277088,POINT (1.5230773 48.6454179),0.0,POINT (1.3756893 48.7210523),17.7 km,1 hour 0 mins
842621873,559277088,POINT (1.3798422 48.728863),1.0,POINT (1.3756893 48.7210523),1.7 km,4 mins
838320706,559277088,POINT (1.3919715 48.7385156),1.0,POINT (1.3756893 48.7210523),3.9 km,5 mins
776399834,559277088,POINT (1.3414973 48.7272205),1.0,POINT (1.3756893 48.7210523),4.2 km,10 mins
854577575,559277088,POINT (1.3579211 48.7447023),0.0,POINT (1.3756893 48.7210523),3.8 km,17 mins
648993440,559277088,POINT (1.2410824 48.7613818),1.0,POINT (1.3756893 48.7210523),13.5 km,17 mins
888888888,559277088,POINT (1.3796637 48.7209265),1.0,POINT (1.3756893 48.7210523),0.3 km,1 min
480302361,559277088,POINT (1.3827051 48.7302065),1.0,POINT (1.3756893 48.7210523),1.6 km,5 mins
710283561,559277088,POINT (1.374591 48.7325587),1.0,POINT (1.3756893 48.7210523),2.0 km,4 mins
810259688,559277088,POINT (1.356134 48.711115),0.0,POINT (1.3756893 48.7210523),2.5 km,9 mins
764144581,559277088,POINT (1.5004603 48.6603812),1.0,POINT (1.3756893 48.7210523),14.2 km,17 mins
78007874,559277088,POINT (1.3803568 48.7389345),1.0,POINT (1.3756893 48.7210523),3.8 km,5 mins
746414886,559277088,POINT (1.1976441 48.7694552),1.0,POINT (1.3756893 48.7210523),16.8 km,23 mins
1452747150,559277088,POINT (1.2531719 48.8432071),0.0,POINT (1.3756893 48.7210523),21.2 km,1 hour 16 mins
78005437,559277088,POINT (1.3562779 48.712418),1.0,POINT (1.3756893 48.7210523),2.6 km,4 mins
213237245,559277088,POINT (1.2411202 48.7632262),1.0,POINT (1.3756893 48.7210523),13.8 km,17 mins
